yop_kodu,university,program,is_english,scholarship_pct,full_price_2024,full_price_2025,discounted_price_2024,discounted_price_2025
204790941,İSTANBUL OKAN ÜNİVERSİTESİ,Siyaset Bilimi ve Uluslararası İlişkiler,True,50.0,,921690.0,,460845.0
204790948,İSTANBUL OKAN ÜNİVERSİTESİ,Uluslararası Finans ve Bankacılık,False,100.0,,921690.0,,0.0
204790955,İSTANBUL OKAN ÜNİVERSİTESİ,Uluslararası Finans ve Bankacılık,False,50.0,,921690.0,,460845.0
208151140,İSTANBUL RUMELİ ÜNİVERSİTESİ,Spor Yöneticiliği,False,100.0,,723094.0,,0.0
208151414,İSTANBUL RUMELİ ÜNİVERSİTESİ,Spor Yöneticiliği,False,50.0,,723094.0,,361547.0
203211585,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İktisat,False,100.0,,590000.0,,0.0
203211592,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İktisat,False,50.0,,590000.0,,295000.0
203211599,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İktisat,True,100.0,,590000.0,,0.0
203211606,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İktisat,True,50.0,,590000.0,,295000.0
203211522,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme,False,100.0,,590000.0,,0.0
203211529,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme,False,0.0,,590000.0,,590000.0
203211536,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme,False,50.0,,590000.0,,295000.0
203211543,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme,True,100.0,,590000.0,,0.0
203211550,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme,True,0.0,,590000.0,,590000.0
203211557,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İşletme,True,50.0,,590000.0,,295000.0
203211508,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Spor Yöneticiliği,False,50.0,,590000.0,,295000.0
203211515,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Spor Yöneticiliği,False,100.0,,590000.0,,0.0
209410188,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,İşletme,False,50.0,,539460.0,,269730.0
209410201,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,İşletme,True,50.0,,539460.0,,269730.0
203410368,İSTANBUL TİCARET ÜNİVERSİTESİ,Hukuk,False,50.0,,665000.0,,332500.0
205090450,İSTANBUL TOPKAPI ÜNİVERSİTESİ,Bankacılık ve Sigortacılık,False,100.0,,600000.0,,0.0
205090457,İSTANBUL TOPKAPI ÜNİVERSİTESİ,Bankacılık ve Sigortacılık,False,50.0,,600000.0,,300000.0
205090513,İSTANBUL TOPKAPI ÜNİVERSİTESİ,Psikoloji,True,50.0,,1200000.0,,600000.0
